order_id,user_id,problem_id,database_problem_id,correct,skill_id,skill_name,ms_first_response,answer_type,attempt_count
30191387,79034,47039,1140,0,440,运算符,31953,algebra,2
30309546,79073,47039,1140,1,440,运算符,19951,algebra,1
38303035,96276,47039,1140,0,440,运算符,31953,algebra,2
38135305,96294,47039,1140,1,440,运算符,19951,algebra,1
22043894,78833,47040,1141,0,401,文件扩展名,60692,algebra,1
30305540,78915,47040,1141,0,401,文件扩展名,22405,algebra,4
30251396,78970,47040,1141,1,401,文件扩展名,25350,algebra,1
30172415,78982,47040,1141,1,401,文件扩展名,174449,algebra,1
34892282,79032,47040,1141,1,401,文件扩展名,77245,algebra,1
33518318,79740,47040,1141,1,401,文件扩展名,38985,algebra,1
33597710,79768,47040,1141,1,401,文件扩展名,23946,algebra,1
28139732,80182,47040,1141,1,401,文件扩展名,247638,algebra,1
38201619,96223,47040,1141,0,401,文件扩展名,22405,algebra,4
38172954,96235,47040,1141,1,401,文件扩展名,25350,algebra,1
38160708,96247,47040,1141,1,401,文件扩展名,174449,algebra,1
38184367,96274,47040,1141,1,401,文件扩展名,77245,algebra,1
35460734,71881,47041,1142,1,440,运算符,21388,algebra,1
22260179,78834,47041,1142,0,440,运算符,2305,algebra,1
22041933,78843,47041,1142,0,440,运算符,109833,algebra,2
30303783,78908,47041,1142,1,440,运算符,26788,algebra,1
30543201,79056,47041,1142,1,440,运算符,14104,algebra,1
30545764,79063,47041,1142,1,440,运算符,25749,algebra,1
30573630,79075,47041,1142,1,440,运算符,16771,algebra,1
33543268,79632,47041,1142,1,440,运算符,15531,algebra,1
33411419,79740,47041,1142,1,440,运算符,35285,algebra,1
33534131,79748,47041,1142,1,440,运算符,67942,algebra,1
22134467,80649,47041,1142,1,440,运算符,28313,algebra,1
38261501,96216,47041,1142,1,440,运算符,26788,algebra,1
38187186,96279,47041,1142,1,440,运算符,14104,algebra,1
38196079,96286,47041,1142,1,440,运算符,25749,algebra,1
38211406,96296,47041,1142,1,440,运算符,16771,algebra,1
32181277,75169,47042,1143,1,407,数组访问,27045,algebra,1
34261174,77902,47042,1143,1,407,数组访问,83405,algebra,1
22043150,78843,47042,1143,1,407,数组访问,41324,algebra,1
30235039,78977,47042,1143,1,407,数组访问,29530,algebra,1
30298363,79066,47042,1143,1,407,数组访问,46510,algebra,1
33597458,79774,47042,1143,1,407,数组访问,15765,algebra,1
22514143,80650,47042,1143,1,407,数组访问,50270,algebra,1
29541013,86322,47042,1143,1,407,数组访问,24975,algebra,1
30607793,87132,47042,1143,0,407,数组访问,154586,algebra,1
38158665,96242,47042,1143,1,407,数组访问,29530,algebra,1
38270921,96288,47042,1143,1,407,数组访问,46510,algebra,1
