problem_id,problem_text,skill_name,choiceA,choiceB,choiceC,choiceD,answer,"level(0,1,2)(表示三个难度等级"
1,"搭建JDK和Eclipse环境，完成一个程序编写、运行和调试。
```java
public class HelloWorld {
public static void main(String[] args) {
System.out.println(""Hello World!"");
int a = 1;
a=a+1;
a=a+2;
System.out.println(""a is "" + a);
a=a+3;  //断点行
a=a+4;
System.out.println(""a is "" + a);
}
}
```
(1). 编写以上程序，并运行。
(2). 将断点设置在第八行，查看变量a的值，提交此刻的屏幕截图。",程序编写、编译和运行,,,,,"(1)""Hello World!"", ""a is 4"",""a is 11""
(2)a=7",0
,"# Hello,World!

## 题目描述

编写一个能够输出 `Hello,World!` 的程序。

提示：
- 使用英文标点符号；
- `Hello,World!` 逗号后面**没有**空格。
- `H` 和 `W` 为**大写**字母。

## 输入格式

## 输出格式

## 样例 #1

### 样例输入 #1

```
无
```

### 样例输出 #1

```
Hello,World!
```",顺序结构,,,,,"```java
public class Main {
    public static void main(String[] args) {
        System.out.println(""Hello,World!"");
    }
}
```",0
,"# 输出字符菱形

## 题目描述

用 `*` 构造一个对角线长 $5$ 个字符，倾斜放置的菱形。

## 输入格式

没有输入要求。

## 输出格式

如样例所示。用 `*` 构成的菱形。

## 样例 #1

### 样例输入 #1

```

```

### 样例输出 #1

```
*
 ***
*****
 ***
  *
```",顺序结构,,,,,"```java
public class DiamondPattern {
    public static void main(String[] args) {
        int n = 5; // 对角线长度为5，所以是5行
        int i, j;
        int space = n / 2; // 空格数量

        // 打印上半部分的菱形
        for (j = 1; j <= n; j += 2) {
            // 打印空格
            for (i = 1; i <= space; i++) {
                System.out.print("" "");
            }
            space--;

            // 打印星号
            for (i = 1; i <= j; i++) {
                System.out.print(""*"");
            }
            System.out.println();
        }

        // 重置空格数量为1，以便打印下半部分的菱形
        space = 1;

        // 打印下半部分的菱形
        for (j = n - 2; j >= 1; j -= 2) {
            // 打印空格
            for (i = 1; i <= space; i++) {
                System.out.print("" "");
            }
            space++;

            // 打印星号
            for (i = 1; i <= j; i++) {
                System.out.print(""*"");
            }
            System.out.println();
        }
    }
}

```",1
,"# 超级玛丽游戏

## 题目背景

本题是洛谷的试机题目，可以帮助了解洛谷的使用。

建议完成本题目后继续尝试 [P1001](/problem/P1001)、[P1008](/problem/P1008)。  

另外强烈推荐[新用户必读贴](/discuss/show/241461)

## 题目描述

超级玛丽是一个非常经典的游戏。请你用字符画的形式输出超级玛丽中的一个场景。

```
                ********
               ************
               ####....#.
             #..###.....##....
             ###.......######              ###            ###
                ...........               #...#          #...#
               ##*#######                 #.#.#          #.#.#
            ####*******######             #.#.#          #.#.#
           ...#***.****.*###....          #...#          #...#
           ....**********##.....           ###            ###
           ....****    *****....
             ####        ####
           ######        ######
##############################################################
#...#......#.##...#......#.##...#......#.##------------------#
###########################################------------------#
#..#....#....##..#....#....##..#....#....#####################
##########################################    #----------#
#.....#......##.....#......##.....#......#    #----------#
##########################################    #----------#
#.#..#....#..##.#..#....#..##.#..#....#..#    #----------#
##########################################    ############
```

## 输入格式

无

## 输出格式

如描述

## 提示

**广告**

洛谷出品的算法教材，帮助您更简单的学习基础算法。[【官方网店绝赞热卖中！】>>>](https://item.taobao.com/item.htm?id=637730514783)

[![](https://cdn.luogu.com.cn/upload/image_hosting/njc7dlng.png)](https://item.taobao.com/item.htm?id=637730514783)",字符串,,,,,"public class Main {
    public static void main(String[] args) {
        System.out.println(
            ""                ********\n"" +
            ""               ************\n"" +
            ""               ####....#.\n"" +
            ""             #..###.....##....\n"" +
            ""             ###.......######              ###            ###\n"" +
            ""                ...........               #...#          #...#\n"" +
            ""               ##*#######                 #.#.#          #.#.#\n"" +
            ""            ####*******######             #.#.#          #.#.#\n"" +
            ""           ...#***.****.*###....          #...#          #...#\n"" +
            ""           ....**********##.....           ###            ###\n"" +
            ""           ....****    *****....\n"" +
            ""             ####        ####\n"" +
            ""           ######        ######\n"" +
            ""##############################################################\n"" +
            ""#...#......#.##...#......#.##...#......#.##------------------#\n"" +
            ""###########################################------------------#\n"" +
            ""#..#....#....##..#....#....##..#....#....#####################\n"" +
            ""##########################################    #----------#\n"" +
            ""#.....#......##.....#......##.....#......#    #----------#\n"" +
            ""##########################################    #----------#\n"" +
            ""#.#..#....#..##.#..#....#..##.#..#....#..#    #----------#\n"" +
            ""##########################################    ############\n""
        );
    }
}
",1
,"# A+B Problem

## 题目描述

输入两个整数 $a, b$，输出它们的和（$|a|,|b| \le {10}^9$）。

注意

1. Pascal 使用 `integer` 会爆掉哦！
2. 有负数哦！
3. C/C++ 的 main 函数必须是 `int` 类型，而且 C 最后要 `return 0`。这不仅对洛谷其他题目有效，而且也是 NOIP/CSP/NOI 比赛的要求！

好吧，同志们，我们就从这一题开始，向着大牛的路进发。

> 任何一个伟大的思想，都有一个微不足道的开始。

## 输入格式

两个以空格分开的整数。

## 输出格式

一个整数。

## 样例 #1

### 样例输入 #1

```
20 30
```

### 样例输出 #1

```
50
```

## 提示

**广告**

洛谷出品的算法教材，帮助您更简单的学习基础算法。[【官方网店绝赞热卖中！】>>>](https://item.taobao.com/item.htm?id=637730514783)

[![](https://cdn.luogu.com.cn/upload/image_hosting/njc7dlng.png)](https://item.taobao.com/item.htm?id=637730514783)

**本题各种语言的程序范例：**

C
```c
#include <stdio.h>

int main()
{
    int a,b;
    scanf(""%d%d"",&a,&b);
    printf(""%d\n"", a+b);
    return 0;
}
```
----------------

C++
```cpp
#include <iostream>
#include <cstdio>

using namespace std;

int main()
{
    int a,b;
    cin >> a >> b;
    cout << a+b << endl;
    return 0;
}
```
----------------

Pascal
```cpp
var a, b: longint;
begin
    readln(a,b);
    writeln(a+b);
end.
```
-----------------

Python2

```cpp
s = raw_input().split()
print int(s[0]) + int(s[1])
```
-----------------

Python3

```cpp
s = input().split()
print(int(s[0]) + int(s[1]))
```
-----------------

Java
```java
import java.io.*;
import java.util.*;
public class Main {
    public static void main(String args[]) throws Exception {
        Scanner cin=new Scanner(System.in);
        int a = cin.nextInt(), b = cin.nextInt();
        System.out.println(a+b);
    }
}
```
-----------------

JavaScript （Node.js）

```javascript
const fs = require('fs')
const data = fs.readFileSync('/dev/stdin')
const result = data.toString('ascii').trim().split(' ').map(x => parseInt(x)).reduce((a, b) => a + b, 0)
console.log(result)
process.exit() // 请注意必须在出口点处加入此行
```

-----------------

Ruby

```ruby
a, b = gets.split.map(&:to_i)
print a+b
```

-----------------

PHP

```php
<?php
$input = trim(file_get_contents(""php://stdin""));
list($a, $b) = explode(' ', $input);
echo $a + $b;
```

-----------------

Rust

```rust
use std::io;

fn main(){
    let mut input=String::new();
    io::stdin().read_line(&mut input).unwrap();
    let mut s=input.trim().split(' ');

    let a:i32=s.next().unwrap()
               .parse().unwrap();
    let b:i32=s.next().unwrap()
               .parse().unwrap();
    println!(""{}"",a+b);
}
```

-----------------

Go

```go
package main

import ""fmt""

func main() {
    var a, b int
    fmt.Scanf(""%d%d"", &a, &b)
    fmt.Println(a+b)
}
```

-----------------

C# Mono

```cs
using System;

public class APlusB{
    private static void Main(){
        string[] input = Console.ReadLine().Split(' ');
        Console.WriteLine(int.Parse(input[0]) + int.Parse(input[1]));
    }
}
```

------------------

Visual Basic Mono

```vb
Imports System

Module APlusB
    Sub Main()
        Dim ins As String() = Console.ReadLine().Split(New Char(){"" ""c})
        Console.WriteLine(Int(ins(0))+Int(ins(1)))
    End Sub
End Module
```

------------------

Kotlin

```kotlin
fun main(args: Array<String>) {
    val (a, b) = readLine()!!.split(' ').map(String::toInt)
    println(a + b)
}
```

------------------

Haskell

```haskell
main = do
    [a, b] <- (map read . words) `fmap` getLine
    print (a+b)
```

------------------

Lua

```lua
a = io.read('*n')
b = io.read('*n')
print(a + b)
```

------------------

OCaml

```ocaml
Scanf.scanf ""%i %i\n"" (fun a b -> print_int (a + b))
```

------------------

Julia

```julia
nums = map(x -> parse(Int, x), split(readline(), "" ""))
println(nums[1] + nums[2])
```

------------------

Scala

```scala
object Main extends App {
    println(scala.io.StdIn.readLine().split("" "").map(_.toInt).sum)
}
```

------------------

Perl

```perl
my $in = <STDIN>;
chomp $in;
$in = [split /[\s,]+/, $in];
my $c = $in->[0] + $in->[1];
print ""$c\n"";
```",大整数加法,,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int a, b;
        a = scanner.nextInt();
        b = scanner.nextInt();
        System.out.println(a + b);
    }
}
",0
,"# 字符三角形

## 题目描述

给定一个字符，用它构造一个底边长 $5$ 个字符，高 $3$ 个字符的等腰字符三角形。

## 输入格式

输入只有一行，包含一个字符。

## 输出格式

该字符构成的等腰三角形，底边长 $5$ 个字符，高 $3$ 个字符。

## 样例 #1

### 样例输入 #1

```
*
```

### 样例输出 #1

```
*
 ***
*****
```

## 提示

对于 $100 \%$ 的数据，输入的字符是 ASCII 中的可见字符。",顺序结构,,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        char ch = scanner.next().charAt(0);
        System.out.printf(""  %c%n %c%c%c%n%c%c%c%c%c%n"", ch, ch, ch, ch, ch, ch, ch, ch, ch);
    }
}
",1
,"# 【深基2.例5】苹果采购

## 题目描述

现在需要采购一些苹果，每名同学都可以分到固定数量的苹果，并且已经知道了同学的数量，请问需要采购多少个苹果？

## 输入格式

输入两个不超过 $10^9$ 正整数，分别表示每人分到的数量和同学的人数。

## 输出格式

一个整数，表示答案。保证输入和答案都在 int 范围内的非负整数。

## 样例 #1

### 样例输入 #1

```
5 3
```

### 样例输出 #1

```
15
```",输入输出Scanner,,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int a, b;
        a = scanner.nextInt();
        b = scanner.nextInt();
        System.out.println(a * b);
    }
}",0
,"# 【深基2.例6】字母转换

## 题目描述

输入一个小写字母，输出其对应的大写字母。例如输入 q[回车] 时，会输出 Q。

## 输入格式

## 输出格式

## 样例 #1

### 样例输入 #1

```
q
```

### 样例输出 #1

```
Q
```",字符转换,,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        char ch = scanner.next().charAt(0);
        System.out.println(Character.toUpperCase(ch));
    }
}
",1
,"# 【深基2.例7】数字反转

## 题目描述

输入一个不小于 $100$ 且小于 $1000$，同时包括小数点后一位的一个浮点数，例如 $123.4$ ，要求把这个数字翻转过来，变成 $4.321$ 并输出。

## 输入格式

一行一个浮点数

## 输出格式

一行一个浮点数

## 样例 #1

### 样例输入 #1

```
123.4
```

### 样例输出 #1

```
4.321
```","浮点数,数字反转",,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        String input = scanner.next();
        String[] parts = input.split(""\\."");
        String integerPart = parts[0];
        String decimalPart = parts[1];

        StringBuilder reversedInteger = new StringBuilder(integerPart).reverse();
        StringBuilder reversedDecimal = new StringBuilder(decimalPart).reverse();

        String output = reversedDecimal + ""."" + reversedInteger;
        System.out.println(output);
    }
}
",1
,"# 【深基2.例8】再分肥宅水

## 题目描述

现在有 $t$ 毫升肥宅快乐水，要均分给 $n$ 名同学。每名同学需要 $2$ 个杯子。现在想知道每名同学可以获得多少毫升饮料（严格精确到小数点后 $3$ 位），以及一共需要多少个杯子。

## 输入格式

输入一个实数 $t$ 和一个正整数 $n$，使用空格隔开。

## 输出格式

输出两行。

第一行输出一个三位小数，表示可以获得多少毫升饮料。第二行输出一个正整数，表示一共需要多少个杯子。

## 样例 #1

### 样例输入 #1

```
500.0 3
```

### 样例输出 #1

```
166.667
6
```

## 提示

对于所有数据，$0\leq t\leq 10000$ 且小数点后不超过 $3$ 位，$1\leq n\leq 1000$。","浮点数,顺序结构",,,,,"import java.util.Scanner;

public class Main {
    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        double t = scanner.nextDouble(); // 总量
        int n = scanner.nextInt(); // 同学数量

        double perPerson = t / n; // 每人获得的量
        int totalCups = n * 2; // 总共需要的杯子数

        System.out.printf(""%.3f%n"", perPerson);
        System.out.println(totalCups);
    }
}
",1
