problem_id,problem_text,skill_name,choiceA,choiceB,choiceC,choiceD,answer,level
,下列叙述中，正确的是：（）,"变量,java源文件",声明变量时必须指定一个类型,Java认为变量number和Number相同,Java中唯一的注释方式是,源文件中public类可以有0或多个,A,0
,以下哪个单词不是 Java 的关键字？,"关键字,类",static,Boolean,void,private,B,0
,java main 函数写法正确的是？,"静态方法,关键字,方法返回类型,形式参数",public static void main(),public void main(String[] args),public static void main(String[] args), static void main(String[] args),C,0
,boolean 类型的默认值为？,"类,数据类型,默认值",TRUE,FALSE,"null",未定义,B,0
,"以下代码输出正确的是？public class Test {
    public static void main(String[] args) {
        String s1 = ""runoob"";
        String s2 = ""runoob"";
        System.out.println(""s1 == s2 is:"" + s1 == s2);
    }
}","运算符,字符串,运算符优先级",TRUE,s1 == s2 is:false,s1 == s2 is:true,FALSE,D,1
,以下语句哪个是访问数组 arrOne 的第一个元素？,"数组,数组访问", arrOne[0], arrOne[1], arrOne[2], arrOne[3],A,0
,"以下代码，输出结果为：

public class Test {
    public static void main(String args[]) { 
        int x=4; 
        System.out.println(x++); 
    } 
}",算术运算符,output=0,output=6,output=5,output=4,D,0
,"以下代码输出结果为：

public class IfTest{
    public static void main(String[] args){
        int x=3;
        int y=1;
        if(x=y)
            System.out.println(""不相等"");
        else
            System.out.println(""相等"");
     }
}","赋值语句,关系运算符,编译运行",不相等,相等,第五行代码会引起编译错误,程序正常执行，但没有输出结果,C,0
,float 变量的默认值为？,"变量,默认值",0.0d,0.0f,0,未定义,B,0
,"以下代码输出结果为？

public class Test {
    public static void main(String[] args) {
        char c = 65;
        System.out.println(""c = ""+c);
    }
}","变量,变量类型,ASCLL码",c = 65,执行错误,c = A,,C,1
,以下初始化 Java 数组的代码哪一个是正确的。,"数组,数组初始化,数据类型","int [] myArray = {""1"", ""2"", ""3""};"," int [] myArray = (5, 4, 3);"," int myArray [] [] = {1,2,3,4};","int myArray [] = {1, 3, 5};",D,0
,"下代码输出结果为？

class Test
{
    public static void main(String[] args)
    {
        StringBuffer a = new StringBuffer(""Runoob"");
        StringBuffer b = new StringBuffer(""Google"");
        a.delete(1,3);
        a.append(b);
        System.out.println(a);
    }
}",方法,oobGoogle, RoobGoogle,RuoobGoogle,RuobGoogle,B,0
,以下哪个类可以访问所有（子类与超类）的 public 和 protected 方法 ?,类,内部类,外部类,子类,超类,C,0
,哪个修饰符定义了方法与属性只能在同一个类中访问？,修饰符,public,protected,default,private,D,0
,Java 中 float 类型的在内存中的大小为多少字节？,"数据类型,浮点数",8,4,2,16,B,0
,Java 中局部变量不一定要初始化？,"变量,变量初始化",正确,错误,,,B,0
,Java 中一个类可以继承多个类（extends 后面跟上多个类）？,"类,继承",正确,错误,,,B,0
,Math.round(3.7) 输出结果为？,"方法,类型转换",4,3.7,3,0,A,0
,Java 支持 goto 关键字吗？,关键字,支持,不支持,,,B,0
